epoch,loss,time,lr,grad_norm,train_q_50,train_q_75,train_q_90,train_q_95,train_q_99,val_q_50,val_q_75,val_q_90,val_q_95,val_q_99
0,0.00012967359544709326,6.7889063358306885,0.001,0.07182654476712776,2.6708144456209615,6.53161745706426,26.158311554064476,81.88320199038631,1137.465388034661,1.7225224356383673,3.0406687970471533,7.238722816520456,11.639303768854514,43.79308927656795
10,1.237258859910071e-05,6.375672817230225,0.001,0.020060593586509363,1.2661818616379419,1.6118773200834824,2.6407467999138756,4.181239319970104,10.487529667694815,1.2420012372637081,1.6774051559997223,3.1299976098950997,4.992565836949781,11.724544710504537
20,9.211754746502266e-06,6.7448506355285645,0.0007,0.017946386002475702,1.2135974012532593,1.4782921586936848,2.1901496574948096,3.462615981841905,8.492110562236117,1.1984899930647712,1.5243314617784782,2.7147908117821387,4.508209578535194,12.22711391414487
30,8.132374062552117e-06,6.955870628356934,0.0007,0.013179788578160202,1.1751069877900162,1.3885033796156443,2.0502785628288227,3.1839179888576794,8.507632123840827,1.182029678705704,1.453517792309784,2.6146483707178034,4.270586780136354,10.488364780657717
40,7.808089291211217e-06,7.022964715957642,0.00049,0.015574139660766607,1.170094521704224,1.377134641863316,2.0045259807138973,3.142106696415394,7.462634048065536,1.143696624513006,1.3809473027845858,2.5379680524839068,4.2213212864530245,10.487694018571721
50,7.035609733429738e-06,7.175567865371704,0.00049,0.014851892172488609,1.1482870278674504,1.3297657724627943,1.8625460781662662,2.91515893825103,7.540840446479047,1.207068886490123,1.4525277322772996,2.5944888404244058,4.3137898622821105,10.218477036712091
60,6.312979528593132e-06,7.151362895965576,0.000343,0.011599639981772892,1.1363477145924974,1.3003946329055633,1.777104863624495,2.7481016547403834,6.877468803709537,1.1631544323916139,1.3859025463356445,2.411054766663942,4.11901042845764,10.096874072672222
70,5.879118465236388e-06,7.1405088901519775,0.000343,0.012182393211494141,1.130654855759941,1.2811847985884737,1.7320830700073482,2.695765273329767,6.565204673882889,1.1444067618967135,1.3826400284263038,2.456926262203962,4.158925365353947,11.85549616595544
80,5.577071962761693e-06,7.135053634643555,0.00024009999999999998,0.010942652901115863,1.1224093734736638,1.2692354873422305,1.6716982160228695,2.5531411562166615,6.407558816109302,1.1138117929163065,1.3315918588518814,2.4242846895766825,4.171167037369392,9.740234281438676
90,5.0721672014333304e-06,7.171222925186157,0.00024009999999999998,0.011168282207903227,1.1158102755761838,1.2563058496764659,1.6355315384438414,2.4204723485531505,5.936592167453777,1.1049830578431608,1.3230176233770106,2.516413627604996,4.379908437990524,13.422118812651792
99,5.17232573183719e-06,7.13999080657959,0.00024009999999999998,0.012009271615055165,1.113991699344587,1.242005911610645,1.6344355747849542,2.5155553627213134,6.175591358875795,1.1312454009829365,1.3511718918352975,2.425486785657594,4.24360126454396,11.471222607148075
